"plot_id","year","biomass","canopy_cover","canopy_height"
"H1",2014,22.7950391644909,28.4321148825065,4.73585726718886
"H1",2015,22.0922541340296,28.4025239338555,4.49042645778938
"H1",2016,22.2841601392515,29.4429939077459,4.49042645778938
"H1",2017,22.7127937336815,31.3411662315057,4.60661444734552
"H1",2018,26.3655352480418,34.4107919930374,5.92645778938207
"H1",2019,29.9599651871192,37.993907745866,6.97127937336815
"H1",2020,32.0883376849434,42.3494342906876,7.38294168842472
"H1",2021,34.4116623150566,47.3268059181897,8.01914708442124
"H1",2022,36.8015665796345,52.3372497824195,8.68407310704961
"H1",2023,41.2145343777198,57.911227154047,9.56353350739774
"H1",2024,45.523498694517,63.6640557006092,10.7645778938207
"H4",2014,9.30553191489362,8.44510638297872,1.6668085106383
"H4",2015,9.30553191489362,8.44510638297872,1.6668085106383
"H4",2016,9.30553191489362,8.44510638297872,1.6668085106383
"H4",2017,9.30553191489362,8.44510638297872,1.6668085106383
"H4",2018,9.30553191489362,8.44510638297872,1.6668085106383
"H4",2019,10.3693617021277,8.48851063829787,1.93276595744681
"H4",2020,11.1021276595745,8.49574468085106,2.17702127659574
"H4",2021,11.6702127659574,8.67574468085106,2.50042553191489
"H4",2022,12.2114893617021,8.76936170212766,2.77106382978723
"H4",2023,13.2940425531915,8.84382978723404,3.31234042553191
"H4",2024,14.7336170212766,8.97106382978723,3.88
"M7",2014,24.3682994454714,33.0517560073937,5.41543438077634
"M7",2015,23.7939001848429,33.6612754158965,5.04805914972274
"M7",2016,24.5799445471349,35.9279112754159,5.28373382624769
"M7",2017,26.895101663586,38.9815157116451,5.66589648798521
"M7",2018,29.4098890942699,42.9875231053604,6.32670979667283
"M7",2019,34.1229205175601,47.9584103512015,7.4597966728281
"M7",2020,39.7883548983364,53.0092421441774,8.60674676524954
"M7",2021,46.409426987061,58.1945471349353,10.1155268022181
"M7",2022,51.949168207024,63.434842883549,11.6899260628466
"M7",2023,59.177449168207,67.9524029574861,13.3354898336414
"M7",2024,65.3951016635859,72.0531423290203,15.2472273567468
"L5",2014,12.3168498168498,13.9097985347985,2.24358974358974
"L5",2015,11.5210622710623,13.3736263736264,1.99725274725275
"L5",2016,10.6822344322344,13.0723443223443,1.76144688644689
"L5",2017,11.7042124542125,13.7875457875458,2.08882783882784
"L5",2018,12.735347985348,14.53663003663,2.34661172161172
"L5",2019,14.4665750915751,16.3630952380952,2.9459706959707
"L5",2020,16.4331501831502,18.8511904761905,3.65613553113553
"L5",2021,19.1163003663004,22.1813186813187,4.60714285714286
"L5",2022,22.3978937728938,26.3099816849817,5.84065934065934
"L5",2023,27.6172161172161,31.8768315018315,7.38598901098901
"L5",2024,33.1959706959707,38.2632783882784,9.15018315018315
"N5",2014,7.08058608058608,7.08241758241758,1.24221611721612
"N5",2015,7.08058608058608,7.06639194139194,1.24221611721612
"N5",2016,6.91941391941392,7.04120879120879,1.20192307692308
"N5",2017,7.08058608058608,7.11446886446886,1.24221611721612
"N5",2018,8.84065934065934,7.97481684981685,1.6007326007326
"N5",2019,11.5760073260073,9.77976190476191,2.10119047619048
"N5",2020,11.7847985347985,10.532967032967,2.20558608058608
"N5",2021,11.8598901098901,11.5512820512821,2.24130036630037
"N5",2022,12.385989010989,13.0760073260073,2.36172161172161
"N5",2023,12.9913003663004,14.8086080586081,2.5018315018315
"N5",2024,13.8260073260073,17.1369047619048,2.72664835164835
